Z,Groen et al,Schmitt et al,Simulation (extended cermide),Simulation (hairpin ceramide)
-2.9856,72.783,NaN,NaN,NaN
-2.9855,72.799,NaN,NaN,NaN
-2.9854,72.815,NaN,NaN,NaN
-2.9853,72.831,NaN,NaN,NaN
-2.9852,72.847,NaN,NaN,NaN
-2.9851,72.862,NaN,NaN,NaN
-2.985,72.878,NaN,NaN,NaN
-2.9849,72.894,NaN,NaN,NaN
-2.9848,72.91,NaN,NaN,NaN
-2.9847,72.926,NaN,NaN,NaN
-2.9846,72.942,NaN,NaN,NaN
-2.9845,72.958,NaN,NaN,NaN
-2.9844,72.974,NaN,NaN,NaN
-2.9843,72.99,NaN,NaN,NaN
-2.9842,73.005,NaN,NaN,NaN
-2.9841,73.021,NaN,NaN,NaN
-2.984,73.037,NaN,NaN,NaN
-2.9839,73.053,NaN,NaN,NaN
-2.9838,73.069,NaN,NaN,NaN
-2.9837,73.085,NaN,NaN,NaN
-2.9836,73.101,NaN,NaN,NaN
-2.9835,73.117,NaN,NaN,NaN
-2.9834,73.132,NaN,NaN,NaN
-2.9833,73.148,NaN,NaN,NaN
-2.9832,73.164,NaN,NaN,NaN
-2.9831,73.18,NaN,NaN,NaN
-2.983,73.196,NaN,NaN,NaN
-2.9829,73.212,NaN,NaN,NaN
-2.9828,73.228,NaN,NaN,NaN
-2.9827,73.244,NaN,NaN,NaN
-2.9826,73.26,NaN,NaN,NaN
-2.9825,73.275,NaN,NaN,NaN
-2.9824,73.291,NaN,NaN,NaN
-2.9823,73.307,NaN,NaN,NaN
-2.9822,73.323,NaN,NaN,NaN
-2.9821,73.339,NaN,NaN,NaN
-2.982,73.355,NaN,NaN,NaN
-2.9819,73.371,NaN,NaN,NaN
-2.9818,73.387,NaN,NaN,NaN
-2.9817,73.403,NaN,NaN,NaN
-2.9816,73.418,NaN,NaN,NaN
-2.9815,73.434,NaN,NaN,NaN
-2.9814,73.45,NaN,NaN,NaN
-2.9813,73.466,NaN,NaN,NaN
-2.9812,73.482,NaN,NaN,NaN
-2.9811,73.498,NaN,NaN,NaN
-2.981,73.514,NaN,NaN,NaN
-2.9809,73.53,NaN,NaN,NaN
-2.9808,73.545,NaN,NaN,NaN
-2.9807,73.561,NaN,NaN,NaN
-2.9806,73.577,NaN,NaN,NaN
-2.9805,73.593,NaN,NaN,NaN
-2.9804,73.609,NaN,NaN,NaN
-2.9803,73.625,NaN,NaN,NaN
-2.9802,73.641,NaN,NaN,NaN
-2.9801,73.657,NaN,NaN,NaN
-2.98,73.673,NaN,NaN,NaN
-2.9799,73.688,NaN,NaN,NaN
-2.9798,73.704,NaN,NaN,NaN
-2.9797,73.72,NaN,NaN,NaN
-2.9796,73.736,NaN,NaN,NaN
-2.9795,73.752,NaN,NaN,NaN
-2.9794,73.768,NaN,NaN,NaN
-2.9793,73.784,NaN,NaN,NaN
-2.9792,73.8,NaN,NaN,NaN
-2.9791,73.816,NaN,NaN,NaN
-2.979,73.831,NaN,NaN,NaN
-2.9789,73.847,NaN,NaN,NaN
-2.9788,73.863,NaN,NaN,NaN
-2.9787,73.879,NaN,NaN,NaN
-2.9786,73.895,NaN,NaN,NaN
-2.9785,73.911,NaN,NaN,NaN
-2.9784,73.927,NaN,NaN,NaN
-2.9783,73.943,NaN,NaN,NaN
-2.9782,73.959,NaN,NaN,NaN
-2.9781,73.974,NaN,NaN,NaN
-2.978,73.99,NaN,NaN,NaN
-2.9779,74.006,NaN,NaN,NaN
-2.9778,74.022,NaN,NaN,NaN
-2.9777,74.038,NaN,NaN,NaN
-2.9776,74.054,NaN,NaN,NaN
-2.9775,74.07,NaN,NaN,NaN
-2.9774,74.086,NaN,NaN,NaN
-2.9773,74.101,NaN,NaN,NaN
-2.9772,74.117,NaN,NaN,NaN
-2.9771,74.133,NaN,NaN,NaN
-2.977,74.149,NaN,NaN,NaN
-2.9769,74.165,NaN,NaN,NaN
-2.9768,74.181,NaN,NaN,NaN
-2.9767,74.197,NaN,NaN,NaN
-2.9766,74.213,NaN,NaN,NaN
-2.9765,74.229,NaN,NaN,NaN
-2.9764,74.244,NaN,NaN,NaN
-2.9763,74.26,NaN,NaN,NaN
-2.9762,74.276,NaN,NaN,NaN
-2.9761,74.292,NaN,NaN,NaN
-2.976,74.308,NaN,NaN,NaN
-2.9759,74.324,NaN,NaN,NaN
-2.9758,74.34,NaN,NaN,NaN
-2.9757,74.356,NaN,NaN,NaN
-2.9756,74.372,NaN,NaN,NaN
-2.9755,74.387,NaN,NaN,NaN
-2.9754,74.403,NaN,NaN,NaN
-2.9753,74.419,NaN,NaN,NaN
-2.9752,74.435,NaN,NaN,NaN
-2.9751,74.451,NaN,NaN,NaN
-2.975,74.467,NaN,NaN,NaN
-2.9749,74.483,NaN,NaN,NaN
-2.9748,74.499,NaN,NaN,NaN
-2.9747,74.514,NaN,NaN,NaN
-2.9746,74.53,NaN,NaN,NaN
-2.9745,74.546,NaN,NaN,NaN
-2.9744,74.562,NaN,NaN,NaN
-2.9743,74.578,NaN,NaN,NaN
-2.9742,74.594,NaN,NaN,NaN
-2.9741,74.61,NaN,NaN,NaN
-2.974,74.626,NaN,NaN,NaN
-2.9739,74.642,NaN,NaN,NaN
-2.9738,74.657,NaN,NaN,NaN
-2.9737,74.673,NaN,NaN,NaN
-2.9736,74.689,NaN,NaN,NaN
-2.9735,74.705,NaN,NaN,NaN
-2.9734,74.721,NaN,NaN,NaN
-2.9733,74.737,NaN,NaN,NaN
-2.9732,74.753,NaN,NaN,NaN
-2.9731,74.769,NaN,NaN,NaN
-2.973,74.785,NaN,NaN,NaN
-2.9729,74.8,NaN,NaN,NaN
-2.9728,74.816,NaN,NaN,NaN
-2.9727,74.832,NaN,NaN,NaN
-2.9726,74.848,NaN,NaN,NaN
-2.9725,74.864,NaN,NaN,NaN
-2.9724,74.88,NaN,NaN,NaN
-2.9723,74.896,NaN,NaN,NaN
-2.9722,74.912,NaN,NaN,NaN
-2.9721,74.928,NaN,NaN,NaN
-2.972,74.943,NaN,NaN,NaN
-2.9719,74.959,NaN,NaN,NaN
-2.9718,74.975,NaN,NaN,NaN
-2.9717,74.991,NaN,NaN,NaN
-2.9716,75.007,NaN,NaN,NaN
-2.9715,75.023,NaN,NaN,NaN
-2.9714,75.039,NaN,NaN,NaN
-2.9713,75.055,NaN,NaN,NaN
-2.9712,75.07,NaN,NaN,NaN
-2.9711,75.086,NaN,NaN,NaN
-2.971,75.102,NaN,NaN,NaN
-2.9709,75.118,NaN,NaN,NaN
-2.9708,75.134,NaN,NaN,NaN
-2.9707,75.15,NaN,NaN,NaN
-2.9706,75.166,NaN,NaN,NaN
-2.9705,75.182,NaN,NaN,NaN
-2.9704,75.198,NaN,NaN,NaN
-2.9703,75.213,NaN,NaN,NaN
-2.9702,75.229,NaN,NaN,NaN
-2.9701,75.245,NaN,NaN,NaN
-2.97,75.261,NaN,NaN,NaN
-2.9699,75.277,NaN,NaN,NaN
-2.9698,75.293,NaN,NaN,NaN
-2.9697,75.309,NaN,NaN,NaN
-2.9696,75.325,NaN,NaN,NaN
-2.9695,75.341,NaN,NaN,NaN
-2.9694,75.356,NaN,NaN,NaN
-2.9693,75.372,NaN,NaN,NaN
-2.9692,75.388,NaN,NaN,NaN
-2.9691,75.404,NaN,NaN,NaN
-2.969,75.42,NaN,NaN,NaN
-2.9689,75.436,NaN,NaN,NaN
-2.9688,75.452,NaN,NaN,NaN
-2.9687,75.468,NaN,NaN,NaN
-2.9686,75.484,NaN,NaN,NaN
-2.9685,75.499,NaN,NaN,NaN
-2.9684,75.515,NaN,NaN,NaN
-2.9683,75.531,NaN,NaN,NaN
-2.9682,75.547,NaN,NaN,NaN
-2.9681,75.563,NaN,NaN,NaN
-2.968,75.579,NaN,NaN,NaN
-2.9679,75.595,NaN,NaN,NaN
-2.9678,75.611,NaN,NaN,NaN
-2.9677,75.626,NaN,NaN,NaN
-2.9676,75.642,NaN,NaN,NaN
-2.9675,75.658,NaN,NaN,NaN
-2.9674,75.674,NaN,NaN,NaN
-2.9673,75.69,NaN,NaN,NaN
-2.9672,75.706,NaN,NaN,NaN
-2.9671,75.722,NaN,NaN,NaN
-2.967,75.738,NaN,NaN,NaN
-2.9669,75.754,NaN,NaN,NaN
-2.9668,75.769,NaN,NaN,NaN
-2.9667,75.785,NaN,NaN,NaN
-2.9666,75.801,NaN,NaN,NaN
-2.9665,75.817,NaN,NaN,NaN
-2.9664,75.833,NaN,NaN,NaN
-2.9663,75.849,NaN,NaN,NaN
-2.9662,75.865,NaN,NaN,NaN
-2.9661,75.881,NaN,NaN,NaN
-2.966,75.897,NaN,NaN,NaN
-2.9659,75.912,NaN,NaN,NaN
-2.9658,75.928,NaN,NaN,NaN
-2.9657,75.944,NaN,NaN,NaN
-2.9656,75.96,NaN,NaN,NaN
-2.9655,75.976,NaN,NaN,NaN
-2.9654,75.992,NaN,NaN,NaN
-2.9653,76.008,NaN,NaN,NaN
-2.9652,76.024,NaN,NaN,NaN
-2.9651,76.039,NaN,NaN,NaN
-2.965,76.055,NaN,NaN,NaN
-2.9649,76.071,NaN,NaN,NaN
-2.9648,76.087,NaN,NaN,NaN
-2.9647,76.103,NaN,NaN,NaN
-2.9646,76.119,NaN,NaN,NaN
-2.9645,76.135,NaN,NaN,NaN
-2.9644,76.151,NaN,NaN,NaN
-2.9643,76.167,NaN,NaN,NaN
-2.9642,76.182,NaN,NaN,NaN
-2.9641,76.198,NaN,NaN,NaN
-2.964,76.214,NaN,NaN,NaN
-2.9639,76.23,NaN,NaN,NaN
-2.9638,76.246,NaN,NaN,NaN
-2.9637,76.262,NaN,NaN,NaN
-2.9636,76.278,NaN,NaN,NaN
-2.9635,76.294,NaN,NaN,NaN
-2.9634,76.31,NaN,NaN,NaN
-2.9633,76.325,NaN,NaN,NaN
-2.9632,76.341,NaN,NaN,NaN
-2.9631,76.357,NaN,NaN,NaN
-2.963,76.373,NaN,NaN,NaN
-2.9629,76.389,NaN,NaN,NaN
-2.9628,76.405,NaN,NaN,NaN
-2.9627,76.421,NaN,NaN,NaN
-2.9626,76.437,NaN,NaN,NaN
-2.9625,76.453,NaN,NaN,NaN
-2.9624,76.468,NaN,NaN,NaN
-2.9623,76.484,NaN,NaN,NaN
-2.9622,76.5,NaN,NaN,NaN
-2.9621,76.516,NaN,NaN,NaN
-2.962,76.532,NaN,NaN,NaN
-2.9619,76.548,NaN,NaN,NaN
-2.9618,76.564,NaN,NaN,NaN
-2.9617,76.58,NaN,NaN,NaN
-2.9616,76.595,NaN,NaN,NaN
-2.9615,76.611,NaN,NaN,NaN
-2.9614,76.627,NaN,NaN,NaN
-2.9613,76.643,NaN,NaN,NaN
-2.9612,76.659,NaN,NaN,NaN
-2.9611,76.675,NaN,NaN,NaN
-2.961,76.691,NaN,NaN,NaN
-2.9609,76.707,NaN,NaN,NaN
-2.9608,76.723,NaN,NaN,NaN
-2.9607,76.738,NaN,NaN,NaN
-2.9606,76.754,NaN,NaN,NaN
-2.9605,76.77,NaN,NaN,NaN
-2.9604,76.786,NaN,NaN,NaN
-2.9603,76.802,NaN,NaN,NaN
-2.9602,76.818,NaN,NaN,NaN
-2.9601,76.834,NaN,NaN,NaN
-2.96,76.85,NaN,NaN,NaN
-2.9599,76.866,NaN,NaN,NaN
-2.9598,76.881,NaN,NaN,NaN
-2.9597,76.897,NaN,NaN,NaN
-2.9596,76.913,NaN,NaN,NaN
-2.9595,76.929,NaN,NaN,NaN
-2.9594,76.945,NaN,NaN,NaN
-2.9593,76.961,NaN,NaN,NaN
-2.9592,76.977,NaN,NaN,NaN
-2.9591,76.993,NaN,NaN,NaN
-2.959,77.008,NaN,NaN,NaN
-2.9589,77.024,NaN,NaN,NaN
-2.9588,77.04,NaN,NaN,NaN
-2.9587,77.056,NaN,NaN,NaN
-2.9586,77.072,NaN,NaN,NaN
-2.9585,77.088,NaN,NaN,NaN
-2.9584,77.104,NaN,NaN,NaN
-2.9583,77.12,NaN,NaN,NaN
-2.9582,77.136,NaN,NaN,NaN
-2.9581,77.151,NaN,NaN,NaN
-2.958,77.167,NaN,NaN,NaN
-2.9579,77.183,NaN,NaN,NaN
-2.9578,77.199,NaN,NaN,NaN
-2.9577,77.215,NaN,NaN,NaN
-2.9576,77.231,NaN,NaN,NaN
-2.9575,77.247,NaN,NaN,NaN
-2.9574,77.263,NaN,NaN,NaN
-2.9573,77.279,NaN,NaN,NaN
-2.9572,77.294,NaN,NaN,NaN
-2.9571,77.31,NaN,NaN,NaN
-2.957,77.326,NaN,NaN,NaN
-2.9569,77.342,NaN,NaN,NaN
-2.9568,77.358,NaN,NaN,NaN
-2.9567,77.374,NaN,NaN,NaN
-2.9566,77.39,NaN,NaN,NaN
-2.9565,77.406,NaN,NaN,NaN
-2.9564,77.422,NaN,NaN,NaN
-2.9563,77.437,NaN,NaN,NaN
-2.9562,77.453,NaN,NaN,NaN
-2.9561,77.469,NaN,NaN,NaN
-2.956,77.485,NaN,NaN,NaN
-2.9559,77.501,NaN,NaN,NaN
-2.9558,77.517,NaN,NaN,NaN
-2.9557,77.533,NaN,NaN,NaN
-2.9556,77.549,NaN,NaN,NaN
-2.9555,77.564,NaN,NaN,NaN
-2.9554,77.58,NaN,NaN,NaN
-2.9553,77.596,NaN,NaN,NaN
-2.9552,77.612,NaN,NaN,NaN
-2.9551,77.628,NaN,NaN,NaN
-2.955,77.644,NaN,NaN,NaN
-2.9549,77.66,NaN,NaN,NaN
-2.9548,77.676,NaN,NaN,NaN
-2.9547,77.692,NaN,NaN,NaN
-2.9546,77.707,NaN,NaN,NaN
-2.9545,77.723,NaN,NaN,NaN
-2.9544,77.739,NaN,NaN,NaN
-2.9543,77.755,NaN,NaN,NaN
-2.9542,77.771,NaN,NaN,NaN
-2.9541,77.787,NaN,NaN,NaN
-2.954,77.803,NaN,NaN,NaN
-2.9539,77.819,NaN,NaN,NaN
-2.9538,77.835,NaN,NaN,NaN
-2.9537,77.85,NaN,NaN,NaN
-2.9536,77.866,NaN,NaN,NaN
-2.9535,77.882,NaN,NaN,NaN
-2.9534,77.898,NaN,NaN,NaN
-2.9533,77.914,NaN,NaN,NaN
-2.9532,77.93,NaN,NaN,NaN
-2.9531,77.946,NaN,NaN,NaN
-2.953,77.962,NaN,NaN,NaN
-2.9529,77.977,NaN,NaN,NaN
-2.9528,77.993,NaN,NaN,NaN
-2.9527,78.009,NaN,NaN,NaN
-2.9526,78.025,NaN,NaN,NaN
-2.9525,78.041,NaN,NaN,NaN
-2.9524,78.057,NaN,NaN,NaN
-2.9523,78.073,NaN,NaN,NaN
-2.9522,78.089,NaN,NaN,NaN
-2.9521,78.105,NaN,NaN,NaN
-2.952,78.12,NaN,NaN,NaN
-2.9519,78.136,NaN,NaN,NaN
-2.9518,78.152,NaN,NaN,NaN
-2.9517,78.168,NaN,NaN,NaN
-2.9516,78.184,NaN,NaN,NaN
-2.9515,78.2,NaN,NaN,NaN
-2.9514,78.216,NaN,NaN,NaN
-2.9513,78.232,NaN,NaN,NaN
-2.9512,78.248,NaN,NaN,NaN
-2.9511,78.263,NaN,NaN,NaN
-2.951,78.279,NaN,NaN,NaN
-2.9509,78.295,NaN,NaN,NaN
-2.9508,78.311,NaN,NaN,NaN
-2.9507,78.327,NaN,NaN,NaN
-2.9506,78.343,NaN,NaN,NaN
-2.9505,78.359,NaN,NaN,NaN
-2.9504,78.375,NaN,NaN,NaN
-2.9503,78.391,NaN,NaN,NaN
-2.9502,78.406,NaN,NaN,NaN
-2.9501,78.422,NaN,NaN,NaN
-2.95,78.438,NaN,NaN,NaN
-2.9499,78.454,NaN,NaN,NaN
-2.9498,78.47,NaN,NaN,NaN
-2.9497,78.486,NaN,NaN,NaN
-2.9496,78.502,NaN,NaN,NaN
-2.9495,78.518,NaN,NaN,NaN
-2.9494,78.533,NaN,NaN,NaN
-2.9493,78.549,NaN,NaN,NaN
-2.9492,78.565,NaN,NaN,NaN
-2.9491,78.581,NaN,NaN,NaN
-2.949,78.597,NaN,NaN,NaN
-2.9489,78.613,NaN,NaN,NaN
-2.9488,78.629,NaN,NaN,NaN
-2.9487,78.645,NaN,NaN,NaN
-2.9486,78.661,NaN,NaN,NaN
-2.9485,78.676,NaN,NaN,NaN
-2.9484,78.692,NaN,NaN,NaN
-2.9483,78.708,NaN,NaN,NaN
-2.9482,78.724,NaN,NaN,NaN
-2.9481,78.74,NaN,NaN,NaN
-2.948,78.756,NaN,NaN,NaN
-2.9479,78.772,NaN,NaN,NaN
-2.9478,78.788,NaN,NaN,NaN
-2.9477,78.804,NaN,NaN,NaN
-2.9476,78.819,NaN,NaN,NaN
-2.9475,78.835,NaN,NaN,NaN
-2.9474,78.851,NaN,NaN,NaN
-2.9473,78.868,NaN,NaN,NaN
-2.9472,78.884,NaN,NaN,NaN
-2.9471,78.901,NaN,NaN,NaN
-2.947,78.917,NaN,NaN,NaN
-2.9469,78.934,NaN,NaN,NaN
-2.9468,78.95,NaN,NaN,NaN
-2.9467,78.967,NaN,NaN,NaN
-2.9466,78.983,NaN,NaN,NaN
-2.9465,79,NaN,NaN,NaN
